name,description,quantity,price,category,category_id,created_by,supplier
IPhone 16 Pro Max,Latest model smartphone,20,1700.0,Technology,,1,Apple Inc.
Samsung Galaxy S23,Flagship smartphone,15,1200.0,Technology,,1,Samsung Electronics
Dell XPS 15,High-end laptop,10,1500.0,Computers,,1,Dell Technologies
Apple MacBook Pro,16-inch model laptop,8,2500.0,Computers,,1,Apple Inc.
Sony WH-1000XM5,Noise-cancelling headphones,25,400.0,Audio,,1,Sony Corporation
Bose QC45,Wireless noise-cancelling,30,350.0,Audio,,1,Bose Corporation
Canon EOS R6,Full-frame mirrorless,5,2500.0,Cameras,,1,Canon Inc.
Nikon Z6 II,Mirrorless camera,7,2000.0,Cameras,,1,Nikon Corporation
Logitech MX Master 3,Wireless mouse,50,100.0,Accessories,,1,Logitech
Apple Magic Keyboard,Wireless keyboard,40,130.0,Accessories,,1,Apple Inc.
Item 11,Description for item 11,12,55.5,Category A,,1,Supplier A
Item 12,Description for item 12,8,120.0,Category B,,1,Supplier B
Item 13,Description for item 13,20,75.0,Category A,,1,Supplier A
Item 14,Description for item 14,16,90.0,Category C,,1,Supplier C
Item 15,Description for item 15,30,45.0,Category B,,1,Supplier B
Item 16,Description for item 16,25,80.0,Category C,,1,Supplier C
Item 17,Description for item 17,10,150.0,Category A,,1,Supplier A
Item 18,Description for item 18,5,200.0,Category B,,1,Supplier B
Item 19,Description for item 19,12,65.0,Category C,,1,Supplier C
Item 20,Description for item 20,18,95.0,Category A,,1,Supplier A
Item 21,Description for item 21,22,110.0,Category B,,1,Supplier B
Item 22,Description for item 22,14,85.0,Category C,,1,Supplier C
Item 23,Description for item 23,30,45.0,Category A,,1,Supplier A
Item 24,Description for item 24,8,130.0,Category B,,1,Supplier B
Item 25,Description for item 25,20,70.0,Category C,,1,Supplier C
Item 26,Description for item 26,10,99.99,Category A,,1,Supplier A
Item 27,Description for item 27,15,105.0,Category B,,1,Supplier B
Item 28,Description for item 28,12,88.0,Category C,,1,Supplier C
Item 29,Description for item 29,18,75.0,Category A,,1,Supplier A
Item 30,Description for item 30,9,120.0,Category B,,1,Supplier B
Item 31,Description for item 31,11,60.0,Category C,,1,Supplier C
Item 32,Description for item 32,14,95.0,Category A,,1,Supplier A
Item 33,Description for item 33,16,85.0,Category B,,1,Supplier B
Item 34,Description for item 34,20,75.0,Category C,,1,Supplier C
Item 35,Description for item 35,13,100.0,Category A,,1,Supplier A
Item 36,Description for item 36,17,90.0,Category B,,1,Supplier B
Item 37,Description for item 37,22,80.0,Category C,,1,Supplier C
Item 38,Description for item 38,10,110.0,Category A,,1,Supplier A
Item 39,Description for item 39,15,95.0,Category B,,1,Supplier B
Item 40,Description for item 40,12,85.0,Category C,,1,Supplier C
Item 41,Description for item 41,20,70.0,Category A,,1,Supplier A
Item 42,Description for item 42,18,100.0,Category B,,1,Supplier B
Item 43,Description for item 43,16,90.0,Category C,,1,Supplier C
Item 44,Description for item 44,14,80.0,Category A,,1,Supplier A
Item 45,Description for item 45,11,105.0,Category B,,1,Supplier B
Item 46,Description for item 46,13,95.0,Category C,,1,Supplier C
Item 47,Description for item 47,17,85.0,Category A,,1,Supplier A
Item 48,Description for item 48,19,75.0,Category B,,1,Supplier B
Item 49,Description for item 49,20,65.0,Category C,,1,Supplier C
Item 50,Description for item 50,12,90.0,Category A,,1,Supplier A
